warehouse_id,lat,lng,nearest_city,state,region,covered_orders,coverage_pct,top_states,priority
2,-23.047220867315154,-47.07449906090928,campinas,SP,Southeast,49633,45.260393394187545,"SP, MG, PR",1차 (즉시)
5,-21.320555112061182,-43.11641902378401,guarani,MG,Southeast,26862,24.495490648452957,"RJ, MG, ES",1차 (즉시)
3,-27.370428185042808,-51.00745330119536,vargem,SC,South,15251,13.907405549830843,"RS, PR, SC",2차 (6개월)
1,-7.892911334822649,-39.40542483753232,serrita,PE,Northeast,10370,9.456415681053429,"BA, PE, CE",2차 (6개월)
4,-14.943743888175051,-51.0997702320397,aruanã,GO,Central-West,7545,6.880294726475228,"GO, DF, MT",3차 (12개월)
